"","V1","V2"
"1",16,77
"2",77,13
"3",13,73
"4",73,14
"5",14,74
"6",74,13
"7",13,69
"8",69,12
"9",12,68
"10",68,13
"11",13,78
"12",78,18
"13",18,80
"14",80,17
"15",17,78
"16",78,27
"17",27,79
"18",79,15
"19",15,89
"20",89,33
"21",33,97
"22",97,32
"23",32,87
"24",87,14
"25",14,78
"26",78,16
"27",16,76
"28",76,17
"29",17,88
"30",88,32
"31",32,92
"32",92,29
"33",29,81
"34",81,27
"35",27,82
"36",82,28
"37",28,83
"38",83,23
"39",23,84
"40",84,29
"41",29,91
"42",91,33
"43",33,98
"44",98,46
"45",46,100
"46",100,51
"47",51,130
"48",130,48
"49",48,99
"50",99,36
"51",36,96
"52",96,33
"53",33,99
"54",99,47
"55",47,98
"56",98,45
"57",45,105
"58",105,57
"59",57,107
"60",107,56
"61",56,104
"62",104,52
"63",52,101
"64",101,53
"65",53,104
"66",104,38
"67",38,94
"68",94,37
"69",37,97
"70",97,39
"71",39,103
"72",103,35
"73",35,99
"74",99,38
"75",38,97
"76",97,29
"77",29,93
"78",93,34
"79",34,97
"80",97,44
"81",44,100
"82",100,50
"83",50,130
"84",130,49
"85",49,131
"86",131,48
"87",48,109
"88",109,58
"89",58,107
"90",107,55
"91",55,106
"92",106,41
"93",41,103
"94",103,37
"95",37,91
"96",91,28
"97",28,80
"98",80,21
"99",21,84
"100",84,24
"101",24,88
"102",88,27
"103",27,77
"104",77,17
"105",17,81
"106",81,20
"107",20,79
"108",79,18
"109",18,81
"110",81,21
"111",21,79
"112",79,16
"113",16,89
"114",89,19
"115",19,78
"116",78,20
"117",20,74
"118",74,16
"119",16,71
"120",71,13
"121",13,86
"122",86,31
"123",31,87
"124",87,27
"125",27,80
"126",80,19
"127",19,79
"128",79,14
"129",14,83
"130",83,30
"131",30,85
"132",85,13
"133",13,72
"134",72,17
"135",17,91
"136",91,18
"137",18,92
"138",92,33
"139",33,95
"140",95,40
"141",40,104
"142",104,51
"143",51,99
"144",99,49
"145",49,132
"146",132,50
"147",50,131
"148",131,52
"149",52,132
"150",132,51
"151",51,115
"152",115,65
"153",65,14
"154",14,77
"155",77,26
"156",26,87
"157",87,15
"158",15,75
"159",75,13
"160",13,70
"161",70,16
"162",16,86
"163",86,25
"164",25,76
"165",76,13
"166",13,87
"167",87,25
"168",25,80
"169",80,26
"170",26,96
"171",96,40
"172",40,98
"173",98,32
"174",32,95
"175",95,39
"176",39,99
"177",99,37
"178",37,104
"179",104,54
"180",54,105
"181",105,46
"182",46,115
"183",115,49
"184",49,104
"185",104,55
"186",55,16
"187",16,81
"188",81,19
"189",19,82
"190",82,18
"191",18,90
"192",90,34
"193",34,111
"194",111,33
"195",33,88
"196",88,15
"197",15,77
"198",77,24
"199",24,75
"200",75,10
"201",10,73
"202",73,19
"203",19,57
"204",57,106
"205",106,48
"206",48,116
"207",116,47
"208",47,100
"209",100,36
"210",36,93
"211",93,31
"212",31,85
"213",85,28
"214",28,79
"215",79,22
"216",22,94
"217",94,34
"218",34,102
"219",102,52
"220",52,100
"221",100,39
"222",39,105
"223",105,56
"224",56,103
"225",103,51
"226",51,131
"227",131,53
"228",53,132
"229",132,48
"230",48,104
"231",104,50
"232",50,99
"233",99,46
"234",46,106
"235",106,47
"236",47,104
"237",104,39
"238",39,102
"239",102,56
"240",56,17
"241",17,85
"242",85,15
"243",15,76
"244",76,11
"245",11,59
"246",59,12
"247",12,61
"248",61,14
"249",14,86
"250",86,23
"251",23,80
"252",80,14
"253",14,88
"254",88,25
"255",25,77
"256",77,23
"257",23,75
"258",75,16
"259",16,69
"260",69,14
"261",14,84
"262",84,27
"263",27,86
"264",86,22
"265",22,90
"266",90,16
