"","V1","V2"
"1",70,155
"2",155,68
"3",68,157
"4",157,73
"5",73,152
"6",152,69
"7",69,156
"8",156,66
"9",66,159
"10",159,72
"11",72,153
"12",153,67
"13",67,158
"14",158,79
"15",79,146
"16",146,62
"17",62,142
"18",142,44
"19",44,141
"20",141,63
"21",63,139
"22",139,59
"23",59,137
"24",137,41
"25",41,134
"26",134,37
"27",37,131
"28",131,50
"29",50,133
"30",133,38
"31",38,138
"32",138,66
"33",66,145
"34",145,80
"35",80,162
"36",162,77
"37",77,148
"38",148,73
"39",73,163
"40",163,76
"41",76,149
"42",149,49
"43",49,134
"44",134,57
"45",57,143
"46",143,82
"47",82,161
"48",161,64
"49",64,151
"50",151,74
"51",74,150
"52",150,75
"53",75,162
"54",162,71
"55",71,154
"56",154,65
"57",65,160
"58",160,85
"59",85,163
"60",163,70
"61",70,151
"62",151,72
"63",72,141
"64",141,54
"65",54,128
"66",128,34
"67",34,101
"68",101,178
"69",178,97
"70",97,38
"71",38,130
"72",130,51
"73",51,127
"74",127,32
"75",32,103
"76",103,175
"77",175,94
"78",94,172
"79",172,87
"80",87,159
"81",159,77
"82",77,146
"83",146,47
"84",47,124
"85",124,31
"86",31,104
"87",104,179
"88",179,100
"89",100,35
"90",35,132
"91",132,56
"92",56,140
"93",140,45
"94",45,121
"95",121,30
"96",30,105
"97",105,178
"98",178,95
"99",95,170
"100",170,89
"101",89,162
"102",162,63
"103",63,134
"104",134,35
"105",35,126
"106",126,33
"107",33,102
"108",102,177
"109",177,106
"110",106,29
"111",29,118
"112",118,27
"113",27,108
"114",108,20
"115",20,115
"116",115,25
"117",25,110
"118",110,40
"119",40,136
"120",136,60
"121",60,142
"122",142,83
"123",83,162
"124",162,72
"125",72,160
"126",160,90
"127",90,158
"128",158,69
"129",69,142
"130",142,43
"131",43,143
"132",143,77
"133",77,147
"134",147,78
"135",78,161
"136",161,76
"137",76,151
"138",151,51
"139",51,120
"140",120,15
"141",15,76
"142",76,166
"143",166,72
"144",72,155
"145",155,77
"146",77,141
"147",141,84
"148",84,150
"149",150,50
"150",50,118
"151",118,17
"152",17,83
"153",83,154
"154",154,73
"155",73,139
"156",139,53
"157",53,123
"158",123,44
"159",44,122
"160",122,13
"161",13,70
"162",70,162
"163",162,74
"164",74,147
"165",147,47
"166",47,128
"167",128,32
"168",32,123
"169",123,12
"170",12,68
"171",68,160
"172",160,81
"173",81,144
"174",144,46
"175",46,120
"176",120,29
"177",29,122
"178",122,54
"179",54,135
"180",135,36
"181",36,99
"182",99,30
"183",30,113
"184",113,22
"185",22,88
"186",88,151
