"","V1","V2"
"1",76,149
"2",149,72
"3",72,153
"4",153,76
"5",76,175
"6",175,77
"7",77,148
"8",148,79
"9",79,146
"10",146,72
"11",72,173
"12",173,73
"13",73,152
"14",152,78
"15",78,147
"16",147,80
"17",80,145
"18",145,74
"19",74,151
"20",151,76
"21",76,140
"22",140,85
"23",85,158
"24",158,84
"25",84,157
"26",157,82
"27",82,143
"28",143,63
"29",63,162
"30",162,87
"31",87,159
"32",159,88
"33",88,158
"34",158,67
"35",67,130
"36",130,57
"37",57,138
"38",138,74
"39",74,174
"40",174,75
"41",75,150
"42",150,78
"43",78,176
"44",176,77
"45",77,154
"46",154,71
"47",71,171
"48",171,70
"49",70,155
"50",155,79
"51",79,3
"52",3,82
"53",82,150
"54",150,79
"55",79,144
"56",144,81
"57",81,156
"58",156,69
"59",69,167
"60",167,68
"61",68,157
"62",157,80
"63",80,178
"64",178,72
"65",72,134
"66",134,53
"67",53,126
"68",126,52
"69",52,125
"70",125,10
"71",10,109
"72",109,26
"73",26,118
"74",118,47
"75",47,119
"76",119,48
"77",48,121
"78",121,49
"79",49,122
"80",122,13
"81",13,133
"82",133,2
"83",2,78
"84",78,149
"85",149,83
"86",83,142
"87",142,61
"88",61,164
"89",164,87
"90",87,138
"91",138,65
"92",65,160
"93",160,36
"94",36,159
"95",159,66
"96",66,128
"97",128,7
"98",7,126
"99",126,9
"100",9,128
"101",128,53
"102",53,124
"103",124,11
"104",11,110
"105",110,25
"106",25,100
"107",100,8
"108",8,127
"109",127,51
"110",51,124
"111",124,63
"112",63,136
"113",136,74
"114",74,152
"115",152,85
"116",85,6
"117",6,129
"118",129,49
"119",49,117
"120",117,18
"121",18,138
"122",138,71
"123",71,150
"124",150,74
"125",74,179
"126",179,82
"127",82,4
"128",4,131
"129",131,52
"130",52,118
"131",118,17
"132",17,137
"133",137,88
"134",88,165
"135",165,60
"136",60,123
"137",123,12
"138",12,111
"139",111,24
"140",24,116
"141",116,19
"142",19,149
"143",149,80
"144",80,143
"145",143,70
"146",70,146
"147",146,81
"148",81,1
"149",1,134
"150",134,75
"151",75,0
"152",0,135
"153",135,71
"154",71,169
"155",169,68
"156",68,166
"157",166,90
"158",90,163
"159",163,62
"160",62,161
"161",161,64
"162",64,126
"163",126,47
"164",47,108
"165",108,27
"166",27,154
"167",154,78
"168",78,145
"169",145,82
"170",82,156
"171",156,31
"172",31,104
"173",104,8
"174",8,129
"175",129,69
"176",69,148
"177",148,74
"178",74,141
"179",141,84
"180",84,5
"181",5,130
"182",130,55
"183",55,112
"184",112,23
"185",23,118
"186",118,2
"187",2,80
"188",80,177
"189",177,70
"190",70,172
"191",172,53
"192",53,121
"193",121,14
"194",14,98
"195",98,37
"196",37,161
"197",161,35
"198",35,100
"199",100,168
"200",168,57
"201",57,120
"202",120,40
"203",40,95
"204",95,164
"205",164,92
"206",92,166
"207",166,39
"208",39,96
"209",96,21
"210",21,114
"211",114,172
"212",172,111
"213",111,176
"214",176,75
"215",75,137
"216",137,27
"217",27,102
"218",102,33
"219",33,106
"220",106,29
"221",29,140
"222",140,59
"223",59,159
"224",159,90
"225",90,2
"226",2,119
"227",119,16
"228",16,136
"229",136,89
"230",89,3
"231",3,132
"232",132,53
"233",53,125
"234",125,6
"235",6,124
"236",124,42
"237",42,93
"238",93,165
"239",165,39
"240",39,118
"241",118,56
"242",56,117
"243",117,61
"244",61,144
"245",144,75
"246",75,147
"247",147,16
"248",16,149
"249",149,18
"250",18,94
"251",94,41
"252",41,122
"253",122,50
"254",50,152
"255",152,24
"256",24,131
"257",131,11
"258",11,107
"259",107,28
"260",28,131
"261",131,50
"262",50,175
"263",175,120
"264",120,15
"265",15,100
"266",100,159
"267",159,83
"268",83,152
"269",152,49
"270",49,176
"271",176,68
"272",68,131
"273",131,72
"274",72,170
"275",170,112
"276",112,10
"277",10,103
"278",103,32
