"","V1","V2"
"1",30,105
"2",105,28
"3",28,101
"4",101,34
"5",34,108
"6",108,48
"7",48,109
"8",109,49
"9",49,110
"10",110,47
"11",47,128
"12",128,44
"13",44,126
"14",126,43
"15",43,158
"16",158,41
"17",41,120
"18",120,40
"19",40,95
"20",95,173
"21",173,52
"22",52,114
"23",114,31
"24",31,104
"25",104,49
"26",49,105
"27",105,27
"28",27,93
"29",93,171
"30",171,94
"31",94,172
"32",172,53
"33",53,128
"34",128,43
"35",43,160
"36",160,58
"37",58,161
"38",161,59
"39",59,162
"40",162,63
"41",63,167
"42",167,50
"43",50,112
"44",112,33
"45",33,107
"46",107,32
"47",32,103
"48",103,30
"49",30,107
"50",107,28
"51",28,99
"52",99,36
"53",36,109
"54",109,35
"55",35,100
"56",100,27
"57",27,108
"58",108,33
"59",33,102
"60",102,47
"61",47,107
"62",107,52
"63",52,130
"64",130,53
"65",53,169
"66",169,90
"67",90,171
"68",171,54
"69",54,136
"70",136,55
"71",55,170
"72",170,92
"73",92,172
"74",172,96
"75",96,39
"76",39,163
"77",163,62
"78",62,125
"79",125,42
"80",42,164
"81",164,61
"82",61,163
"83",163,46
"84",46,103
"85",103,48
"86",48,140
"87",140,68
"88",68,172
"89",172,95
"90",95,174
"91",174,98
"92",98,37
"93",37,137
"94",137,88
"95",88,168
"96",168,57
"97",57,160
"98",160,65
"99",65,164
"100",164,41
"101",41,94
"102",94,28
"103",28,151
"104",151,54
"105",54,115
"106",115,33
"107",33,123
"108",123,17
"109",17,76
"110",76,178
"111",178,99
"112",99,177
"113",177,73
"114",73,144
"115",144,71
"116",71,175
"117",175,98
"118",98,26
"119",26,91
"120",91,134
"121",134,47
"122",47,164
"123",164,66
"124",66,159
"125",159,42
"126",42,157
"127",157,33
"128",33,106
"129",106,29
"130",29,102
"131",102,49
"132",49,141
"133",141,72
"134",72,12
"135",12,123
"136",123,59
"137",59,115
"138",115,31
"139",31,106
"140",106,46
"141",46,167
"142",167,45
"143",45,127
"144",127,46
"145",46,109
"146",109,47
"147",47,135
"148",135,69
"149",69,142
"150",142,51
"151",51,113
"152",113,32
"153",32,114
"154",114,38
"155",38,97
"156",97,25
"157",25,110
"158",110,50
